Date,Price
1997-01-07,3.82
1998-01-02,2.16
1999-01-04,2.1
2000-01-04,2.16
2001-01-02,9.97
2002-01-02,2.55
2003-01-02,4.93
2004-01-05,6.28
2005-01-03,5.53
2006-01-03,9.9
2007-01-02,5.4
2008-01-02,7.83
2009-01-02,5.41
2010-01-04,6.09
2011-01-03,4.54
2012-01-03,2.97
2013-01-02,3.3
2014-01-02,4.32
2015-01-02,3.01
2016-01-01,2.28
2017-01-02,3.71
2018-01-02,6.24
